Date,Values,Delta Calculations
2013-05-06,0.81,0.0
2013-05-13,0.81,0.0
2013-05-20,0.81,0.0
2013-05-27,0.81,0.0
2013-06-03,0.81,0.0
2013-06-10,0.81,0.0
2013-06-17,0.81,0.0
2013-06-24,0.81,0.0
2013-07-01,0.81,0.0
2013-07-08,0.81,0.0
2013-07-15,0.81,0.0
2013-07-22,0.81,0.0
2013-07-29,0.81,0.0
2013-08-05,0.81,0.0
2013-08-12,0.81,0.0
2013-08-19,0.81,0.0
2013-08-26,0.81,0.0
2013-09-02,0.81,0.0
2013-09-09,0.81,0.0
2013-09-16,0.81,0.0
2013-09-23,0.81,0.0
2013-09-30,0.81,0.0
2013-10-07,0.81,0.0
2013-10-14,0.81,0.0
2013-10-21,0.81,0.0
2013-10-28,0.81,0.0
2013-11-04,0.81,0.0
2013-11-11,0.81,0.0
2013-11-18,0.81,0.0
2013-11-25,0.81,0.0
2013-12-02,0.81,0.0
2013-12-09,0.81,0.0
2013-12-16,0.81,0.0
2013-12-23,0.81,0.0
2013-12-30,0.81,0.0
2014-01-06,0.81,0.0
2014-01-13,0.81,0.0
2014-01-20,0.81,0.0
2014-01-27,0.81,0.0
2014-02-03,0.81,0.0
2014-02-10,0.81,0.0
2014-02-17,0.81,0.0
2014-02-24,0.8,-0.010000000000000009
2014-03-03,0.8,0.0
2014-03-10,0.8,0.0
2014-03-17,0.8,0.0
2014-03-24,0.8,0.0
2014-03-31,0.8,0.0
2014-04-07,0.8,0.0
2014-04-14,0.8,0.0
2014-04-21,0.8,0.0
2014-04-28,0.8,0.0
2014-05-05,0.8,0.0
2014-05-12,0.8,0.0
2014-05-19,0.8,0.0
2014-05-26,0.8,0.0
2014-06-02,0.8,0.0
2014-06-09,0.8,0.0
2014-06-16,0.81,0.010000000000000009
2014-06-23,0.81,0.0
2014-06-30,0.81,0.0
2014-07-07,0.81,0.0
2014-07-14,0.81,0.0
2014-07-21,0.81,0.0
2014-07-28,0.81,0.0
2014-08-04,0.81,0.0
2014-08-11,0.81,0.0
2014-08-18,0.81,0.0
2014-08-25,0.81,0.0
2014-09-01,0.81,0.0
2014-09-08,0.81,0.0
2014-09-15,0.81,0.0
2014-09-22,0.81,0.0
2014-09-29,0.81,0.0
2014-10-06,0.81,0.0
2014-10-13,0.81,0.0
2014-10-20,0.81,0.0
2014-10-27,0.81,0.0
2014-11-03,0.81,0.0
2014-11-10,0.81,0.0
2014-11-17,0.81,0.0
2014-11-24,0.81,0.0
2014-12-01,0.81,0.0
2014-12-08,0.81,0.0
2014-12-15,0.81,0.0
2014-12-22,0.81,0.0
2014-12-29,0.81,0.0
2015-01-05,0.81,0.0
2015-01-12,0.81,0.0
2015-01-19,0.81,0.0
2015-01-26,0.81,0.0
2015-02-02,0.81,0.0
2015-02-09,0.81,0.0
2015-02-16,0.81,0.0
2015-02-23,0.81,0.0
2015-03-02,0.81,0.0
2015-03-09,0.81,0.0
2015-03-16,0.81,0.0
2015-03-23,0.81,0.0
2015-03-30,0.81,0.0
2015-04-06,0.81,0.0
2015-04-13,0.81,0.0
2015-04-20,0.81,0.0
2015-04-27,0.81,0.0
2015-05-04,0.81,0.0
2015-05-11,0.81,0.0
2015-05-18,0.81,0.0
2015-05-25,0.81,0.0
2015-06-01,0.81,0.0
2015-06-08,0.81,0.0
2015-06-15,0.81,0.0
2015-06-22,0.81,0.0
2015-06-29,0.81,0.0
2015-07-06,0.81,0.0
2015-07-13,0.81,0.0
2015-07-20,0.81,0.0
2015-07-27,0.81,0.0
2015-08-03,0.81,0.0
