Date,Values,Delta Calculations
2009-05-18,2.23, 
2009-05-25,2.21,-0.020000000000000018
2009-06-01,2.19,-0.020000000000000018
2009-06-08,2.19,0.0
2009-06-15,2.19,0.0
2009-06-22,2.2,0.010000000000000231
2009-06-29,2.2,0.0
2009-07-06,2.18,-0.020000000000000018
2009-07-13,2.19,0.009999999999999787
2009-07-20,2.18,-0.009999999999999787
2009-07-27,2.18,0.0
2009-08-03,2.18,0.0
2009-08-10,2.18,0.0
2009-08-17,2.18,0.0
2009-08-24,2.25,0.06999999999999984
2009-08-31,2.24,-0.009999999999999787
2009-09-07,2.24,0.0
2009-09-14,2.3,0.05999999999999961
2009-09-21,2.23,-0.06999999999999984
2009-09-28,2.24,0.010000000000000231
2009-10-05,2.26,0.019999999999999574
2009-10-12,2.26,0.0
2009-10-19,2.31,0.050000000000000266
2009-10-26,2.28,-0.03000000000000025
2009-11-02,2.28,0.0
2009-11-09,2.27,-0.009999999999999787
2009-11-16,2.27,0.0
2009-11-23,2.26,-0.010000000000000231
2009-11-30,2.25,-0.009999999999999787
2009-12-07,2.22,-0.029999999999999805
2009-12-14,2.18,-0.040000000000000036
2009-12-21,2.18,0.0
2009-12-28,2.18,0.0
2010-01-04,2.18,0.0
2010-01-11,2.2,0.020000000000000018
2010-01-18,2.18,-0.020000000000000018
2010-01-25,2.18,0.0
2010-02-01,2.18,0.0
2010-02-08,2.16,-0.020000000000000018
2010-02-15,2.16,0.0
2010-02-22,2.16,0.0
2010-03-01,2.17,0.009999999999999787
2010-03-08,2.16,-0.009999999999999787
2010-03-15,2.15,-0.010000000000000231
2010-03-22,2.15,0.0
2010-03-29,2.15,0.0
2010-04-05,2.15,0.0
2010-04-12,2.15,0.0
2010-04-19,2.15,0.0
2010-04-26,2.14,-0.009999999999999787
2010-05-03,2.14,0.0
2010-05-10,2.14,0.0
2010-05-17,2.13,-0.010000000000000231
2010-05-24,2.12,-0.009999999999999787
2010-05-31,2.11,-0.010000000000000231
2010-06-07,2.1,-0.009999999999999787
2010-06-14,2.09,-0.010000000000000231
2010-06-21,2.08,-0.009999999999999787
2010-06-28,2.07,-0.010000000000000231
2010-07-05,2.06,-0.009999999999999787
2010-07-12,2.04,-0.020000000000000018
2010-07-19,2.02,-0.020000000000000018
2010-07-26,2.0,-0.020000000000000018
2010-08-02,1.95,-0.050000000000000044
2010-08-09,1.93,-0.020000000000000018
2010-08-16,1.9,-0.030000000000000027
2010-08-23,1.88,-0.020000000000000018
2010-08-30,1.8,-0.07999999999999985
2010-09-06,1.78,-0.020000000000000018
2010-09-13,1.77,-0.010000000000000009
2010-09-20,1.76,-0.010000000000000009
2010-09-27,1.74,-0.020000000000000018
2010-10-04,1.73,-0.010000000000000009
2010-10-11,1.69,-0.040000000000000036
2010-10-18,1.67,-0.020000000000000018
2010-10-25,1.65,-0.020000000000000018
2010-11-01,1.62,-0.029999999999999805
2010-11-08,1.61,-0.010000000000000009
2010-11-15,1.59,-0.020000000000000018
2010-11-22,1.59,0.0
2010-11-29,1.59,0.0
2010-12-06,1.59,0.0
2010-12-13,1.59,0.0
2010-12-20,1.59,0.0
2010-12-27,1.6,0.010000000000000009
2011-01-03,1.6,0.0
2011-01-10,1.61,0.010000000000000009
2011-01-17,1.61,0.0
2011-01-24,1.61,0.0
2011-01-31,1.62,0.010000000000000009
2011-02-07,1.61,-0.010000000000000009
2011-02-14,1.62,0.010000000000000009
2011-02-21,1.68,0.05999999999999983
2011-02-28,1.69,0.010000000000000009
2011-03-07,1.69,0.0
2011-03-14,1.69,0.0
2011-03-21,1.68,-0.010000000000000009
2011-03-28,1.67,-0.010000000000000009
2011-04-04,1.68,0.010000000000000009
2011-04-11,1.68,0.0
2011-04-18,1.68,0.0
2011-04-25,1.68,0.0
2011-05-02,1.67,-0.010000000000000009
2011-05-09,1.67,0.0
2011-05-16,1.66,-0.010000000000000009
2011-05-23,1.66,0.0
2011-05-30,1.66,0.0
2011-06-06,1.65,-0.010000000000000009
2011-06-13,1.64,-0.010000000000000009
2011-06-20,1.61,-0.029999999999999805
2011-06-27,1.59,-0.020000000000000018
2011-07-04,1.58,-0.010000000000000009
2011-07-11,1.58,0.0
2011-07-18,1.58,0.0
2011-07-25,1.58,0.0
2011-08-01,1.57,-0.010000000000000009
2011-08-08,1.54,-0.030000000000000027
2011-08-15,1.49,-0.050000000000000044
2011-08-22,1.45,-0.040000000000000036
2011-08-29,1.42,-0.030000000000000027
2011-09-05,1.41,-0.010000000000000009
2011-09-12,1.38,-0.030000000000000027
2011-09-19,1.36,-0.019999999999999796
2011-09-26,1.33,-0.030000000000000027
2011-10-03,1.3,-0.030000000000000027
2011-10-10,1.29,-0.010000000000000009
2011-10-17,1.28,-0.010000000000000009
2011-10-24,1.28,0.0
2011-10-31,1.28,0.0
2011-11-07,1.29,0.010000000000000009
2011-11-14,1.26,-0.030000000000000027
2011-11-21,1.25,-0.010000000000000009
2011-11-28,1.25,0.0
2011-12-05,1.25,0.0
2011-12-12,1.24,-0.010000000000000009
2011-12-19,1.24,0.0
2011-12-26,1.23,-0.010000000000000009
2012-01-02,1.23,0.0
2012-01-09,1.23,0.0
2012-01-16,1.22,-0.010000000000000009
2012-01-23,1.21,-0.010000000000000009
2012-01-30,1.2,-0.010000000000000009
2012-02-06,1.18,-0.020000000000000018
2012-02-13,1.17,-0.010000000000000009
2012-02-20,1.16,-0.010000000000000009
2012-02-27,1.16,0.0
2012-03-05,1.15,-0.010000000000000009
2012-03-12,1.14,-0.010000000000000009
2012-03-19,1.13,-0.010000000000000009
2012-03-26,1.13,0.0
2012-04-02,1.13,0.0
2012-04-09,1.12,-0.009999999999999787
2012-04-16,1.12,0.0
2012-04-23,1.12,0.0
2012-04-30,1.11,-0.010000000000000009
2012-05-07,1.11,0.0
2012-05-14,1.11,0.0
2012-05-21,1.1,-0.010000000000000009
2012-05-28,1.1,0.0
2012-06-04,1.09,-0.010000000000000009
2012-06-11,1.09,0.0
2012-06-18,1.08,-0.010000000000000009
2012-06-25,1.07,-0.010000000000000009
2012-07-02,1.07,0.0
2012-07-09,1.06,-0.010000000000000009
2012-07-16,1.06,0.0
2012-07-23,1.04,-0.020000000000000018
2012-07-30,1.04,0.0
2012-08-06,1.02,-0.020000000000000018
2012-08-13,1.0,-0.020000000000000018
2012-08-20,0.99,-0.010000000000000009
2012-08-27,0.99,0.0
2012-09-03,0.98,-0.010000000000000009
2012-09-10,0.98,0.0
2012-09-17,0.95,-0.030000000000000027
2012-09-24,0.95,0.0
2012-10-01,0.94,-0.010000000000000009
2012-10-08,0.93,-0.009999999999999898
2012-10-15,0.92,-0.010000000000000009
2012-10-22,0.92,0.0
2012-10-29,0.91,-0.010000000000000009
2012-11-05,0.89,-0.020000000000000018
2012-11-12,0.89,0.0
2012-11-19,0.88,-0.010000000000000009
2012-11-26,0.87,-0.010000000000000009
2012-12-03,0.87,0.0
2012-12-10,0.86,-0.010000000000000009
2012-12-17,0.85,-0.010000000000000009
2012-12-24,0.85,0.0
2012-12-31,0.85,0.0
2013-01-07,0.85,0.0
2013-01-14,0.84,-0.010000000000000009
2013-01-21,0.83,-0.010000000000000009
2013-01-28,0.82,-0.010000000000000009
2013-02-04,0.82,0.0
2013-02-11,0.82,0.0
2013-02-18,0.82,0.0
2013-02-25,0.81,-0.009999999999999898
2013-03-04,0.81,0.0
2013-03-11,0.8,-0.010000000000000009
2013-03-18,0.79,-0.010000000000000009
2013-03-25,0.79,0.0
