Date,Values,Delta Calculations
2002-12-18,12242.0, 
2002-12-25,12242.0,0.0
2003-01-01,12242.0,0.0
2003-01-08,12242.0,0.0
2003-01-15,12242.0,0.0
2003-01-22,12242.0,0.0
2003-01-29,12242.0,0.0
2003-02-05,12242.0,0.0
2003-02-12,12242.0,0.0
2003-02-19,12242.0,0.0
2003-02-26,12242.0,0.0
2003-03-05,12242.0,0.0
2003-03-12,12242.0,0.0
2003-03-19,12242.0,0.0
2003-03-26,12324.0,82.0
2003-04-02,12814.0,490.0
2003-04-09,12814.0,0.0
2003-04-16,12814.0,0.0
2003-04-23,12814.0,0.0
2003-04-30,12814.0,0.0
2003-05-07,12814.0,0.0
2003-05-14,12814.0,0.0
2003-05-21,12814.0,0.0
2003-05-28,12814.0,0.0
2003-06-04,12814.0,0.0
2003-06-11,12814.0,0.0
2003-06-18,12814.0,0.0
2003-06-25,12814.0,0.0
2003-07-02,12814.0,0.0
2003-07-09,12814.0,0.0
2003-07-16,12814.0,0.0
2003-07-23,12814.0,0.0
2003-07-30,12814.0,0.0
2003-08-06,12814.0,0.0
2003-08-13,12814.0,0.0
2003-08-20,12814.0,0.0
2003-08-27,12814.0,0.0
2003-09-03,12814.0,0.0
2003-09-10,13089.0,275.0
2003-09-17,13454.0,365.0
2003-09-24,13454.0,0.0
2003-10-01,13454.0,0.0
2003-10-08,13454.0,0.0
2003-10-15,13454.0,0.0
2003-10-22,13454.0,0.0
2003-10-29,13454.0,0.0
2003-11-05,13454.0,0.0
2003-11-12,13454.0,0.0
2003-11-19,13454.0,0.0
2003-11-26,13454.0,0.0
2003-12-03,13532.0,78.0
2003-12-10,13994.0,462.0
2003-12-17,13994.0,0.0
2003-12-24,13994.0,0.0
2003-12-31,13994.0,0.0
2004-01-07,13994.0,0.0
2004-01-14,13994.0,0.0
2004-01-21,13994.0,0.0
2004-01-28,13994.0,0.0
2004-02-04,13994.0,0.0
2004-02-11,13994.0,0.0
2004-02-18,13994.0,0.0
2004-02-25,13994.0,0.0
2004-03-03,13994.0,0.0
2004-03-10,14062.0,68.0
2004-03-17,14464.0,402.0
2004-03-24,14464.0,0.0
2004-03-31,14464.0,0.0
2004-04-07,14464.0,0.0
2004-04-14,14464.0,0.0
2004-04-21,14464.0,0.0
2004-04-28,14464.0,0.0
2004-05-05,14464.0,0.0
2004-05-12,14464.0,0.0
2004-05-19,14464.0,0.0
2004-05-26,14464.0,0.0
2004-06-02,14464.0,0.0
2004-06-09,14464.0,0.0
2004-06-16,14464.0,0.0
2004-06-23,14464.0,0.0
2004-06-30,14464.0,0.0
2004-07-07,14464.0,0.0
2004-07-14,14521.0,57.0
2004-07-21,14862.0,341.0
2004-07-28,14862.0,0.0
2004-08-04,14862.0,0.0
2004-08-11,14862.0,0.0
2004-08-18,14862.0,0.0
2004-08-25,14862.0,0.0
2004-09-01,14862.0,0.0
2004-09-08,14862.0,0.0
2004-09-15,14862.0,0.0
2004-09-22,14862.0,0.0
2004-09-29,15262.0,400.0
2004-10-06,15262.0,0.0
2004-10-13,15262.0,0.0
2004-10-20,15262.0,0.0
2004-10-27,15262.0,0.0
2004-11-03,15262.0,0.0
2004-11-10,15683.0,421.0
2004-11-17,15683.0,0.0
2004-11-24,15683.0,0.0
2004-12-01,15683.0,0.0
2004-12-08,15683.0,0.0
2004-12-15,16108.0,425.0
2004-12-22,16108.0,0.0
2004-12-29,16108.0,0.0
2005-01-05,16108.0,0.0
2005-01-12,16108.0,0.0
2005-01-19,16108.0,0.0
2005-01-26,16108.0,0.0
2005-02-02,17394.0,1286.0
2005-02-09,19108.0,1714.0
2005-02-16,19108.0,0.0
2005-02-23,19108.0,0.0
2005-03-02,19108.0,0.0
2005-03-09,19108.0,0.0
2005-03-16,19108.0,0.0
2005-03-23,19108.0,0.0
2005-03-30,19108.0,0.0
2005-04-06,19108.0,0.0
2005-04-13,19108.0,0.0
2005-04-20,19108.0,0.0
2005-04-27,19108.0,0.0
2005-05-04,19108.0,0.0
2005-05-11,19108.0,0.0
2005-05-18,19108.0,0.0
2005-05-25,19108.0,0.0
2005-06-01,19108.0,0.0
2005-06-08,19108.0,0.0
2005-06-15,19108.0,0.0
2005-06-22,19473.0,365.0
2005-06-29,19533.0,60.0
2005-07-06,19533.0,0.0
2005-07-13,19533.0,0.0
2005-07-20,19533.0,0.0
2005-07-27,19533.0,0.0
2005-08-03,19533.0,0.0
2005-08-10,19533.0,0.0
2005-08-17,19533.0,0.0
2005-08-24,19533.0,0.0
2005-08-31,19533.0,0.0
2005-09-07,19533.0,0.0
2005-09-14,19919.0,386.0
2005-09-21,19983.0,64.0
2005-09-28,19983.0,0.0
2005-10-05,19983.0,0.0
2005-10-12,19983.0,0.0
2005-10-19,19983.0,0.0
2005-10-26,19983.0,0.0
2005-11-02,19983.0,0.0
2005-11-09,19983.0,0.0
2005-11-16,19983.0,0.0
2005-11-23,19983.0,0.0
2005-11-30,19983.0,0.0
2005-12-07,19983.0,0.0
2005-12-14,19983.0,0.0
2005-12-21,19983.0,0.0
2005-12-28,19983.0,0.0
2006-01-04,19983.0,0.0
2006-01-11,20367.0,384.0
2006-01-18,20431.0,64.0
2006-01-25,20431.0,0.0
2006-02-01,20936.0,505.0
2006-02-08,22196.0,1260.0
2006-02-15,22196.0,0.0
2006-02-22,22196.0,0.0
2006-03-01,22196.0,0.0
2006-03-08,22196.0,0.0
2006-03-15,22260.0,64.0
2006-03-22,22646.0,386.0
2006-03-29,22646.0,0.0
2006-04-05,22646.0,0.0
2006-04-12,22646.0,0.0
2006-04-19,22646.0,0.0
2006-04-26,22646.0,0.0
2006-05-03,22646.0,0.0
2006-05-10,22646.0,0.0
2006-05-17,22646.0,0.0
2006-05-24,22646.0,0.0
2006-05-31,22646.0,0.0
2006-06-07,22646.0,0.0
2006-06-14,22646.0,0.0
2006-06-21,22646.0,0.0
2006-06-28,22646.0,0.0
2006-07-05,22646.0,0.0
2006-07-12,22646.0,0.0
2006-07-19,23876.0,1230.0
2006-07-26,24783.0,907.0
2006-08-02,25313.0,530.0
2006-08-09,26019.0,706.0
2006-08-16,26019.0,0.0
2006-08-23,26019.0,0.0
2006-08-30,26019.0,0.0
2006-09-06,26019.0,0.0
2006-09-13,26019.0,0.0
2006-09-20,26019.0,0.0
2006-09-27,26019.0,0.0
2006-10-04,26019.0,0.0
2006-10-11,26019.0,0.0
2006-10-18,26624.0,605.0
2006-10-25,27430.0,806.0
2006-11-01,28053.0,623.0
2006-11-08,29681.0,1628.0
2006-11-15,30105.0,424.0
2006-11-22,30105.0,0.0
2006-11-29,30105.0,0.0
2006-12-06,30105.0,0.0
2006-12-13,30105.0,0.0
2006-12-20,30105.0,0.0
2006-12-27,30105.0,0.0
2007-01-03,30105.0,0.0
2007-01-10,30105.0,0.0
2007-01-17,30243.0,138.0
2007-01-24,30587.0,344.0
2007-01-31,30757.0,170.0
2007-02-07,31776.0,1019.0
2007-02-14,31776.0,0.0
2007-02-21,31776.0,0.0
2007-02-28,31776.0,0.0
2007-03-07,31776.0,0.0
2007-03-14,31776.0,0.0
2007-03-21,31776.0,0.0
