Date,Values,Delta Calculations
1992-05-11,1.103, 
1992-05-18,1.118,0.014999999999999902
1992-05-25,1.117,-0.0009999999999998899
1992-06-01,1.122,0.0050000000000001155
1992-06-08,1.137,0.014999999999999902
1992-06-15,1.145,0.008000000000000007
1992-06-22,1.141,-0.0040000000000000036
1992-06-29,1.13,-0.01100000000000012
1992-07-06,1.122,-0.007999999999999785
1992-07-13,1.107,-0.015000000000000124
1992-07-20,1.093,-0.014000000000000012
1992-07-27,1.086,-0.007000000000000117
1992-08-03,1.085,-0.0009999999999998899
1992-08-10,1.08,-0.004999999999999893
1992-08-17,1.068,-0.01200000000000001
1992-08-24,1.089,0.020999999999999908
1992-08-31,1.091,0.0020000000000000018
1992-09-07,1.091,0.0
1992-09-14,1.101,0.010000000000000009
1992-09-21,1.104,0.0030000000000001137
1992-09-28,1.097,-0.007000000000000117
1992-10-05,1.091,-0.006000000000000005
1992-10-12,1.093,0.0020000000000000018
1992-10-19,1.087,-0.006000000000000005
1992-10-26,1.088,0.001000000000000112
1992-11-02,1.096,0.007999999999999785
1992-11-09,1.093,-0.0029999999999998916
1992-11-16,1.079,-0.014000000000000012
1992-11-23,1.069,-0.010000000000000009
1992-11-30,1.056,-0.0129999999999999
1992-12-07,1.043,-0.013000000000000123
1992-12-14,1.025,-0.018000000000000016
1992-12-21,1.025,0.0
1992-12-28,1.018,-0.006999999999999895
1993-01-04,1.014,-0.0040000000000000036
1993-01-11,1.024,0.010000000000000009
1993-01-18,1.02,-0.0040000000000000036
1993-01-25,1.006,-0.014000000000000012
1993-02-01,1.012,0.006000000000000005
1993-02-08,1.033,0.020999999999999908
1993-02-15,1.019,-0.01399999999999979
1993-02-22,1.008,-0.01100000000000012
1993-03-01,1.003,-0.0050000000000001155
1993-03-08,1.02,0.017000000000000126
1993-03-15,1.039,0.019000000000000128
1993-03-22,1.031,-0.00800000000000023
1993-03-29,1.036,0.0050000000000001155
1993-04-05,1.061,0.02499999999999991
1993-04-12,1.077,0.016000000000000014
1993-04-19,1.067,-0.010000000000000009
1993-04-26,1.078,0.01100000000000012
1993-05-03,1.073,-0.0050000000000001155
1993-05-10,1.091,0.018000000000000016
1993-05-17,1.107,0.016000000000000014
1993-05-24,1.103,-0.0040000000000000036
1993-05-31,1.102,-0.0009999999999998899
1993-06-07,1.095,-0.007000000000000117
1993-06-14,1.092,-0.0029999999999998916
1993-06-21,1.077,-0.015000000000000124
1993-06-28,1.068,-0.008999999999999897
1993-07-05,1.063,-0.0050000000000001155
1993-07-12,1.054,-0.008999999999999897
1993-07-19,1.045,-0.009000000000000119
1993-07-26,1.036,-0.008999999999999897
1993-08-02,1.028,-0.008000000000000007
1993-08-09,1.026,-0.0020000000000000018
1993-08-16,1.025,-0.001000000000000112
1993-08-23,1.043,0.018000000000000016
1993-08-30,1.04,-0.0029999999999998916
1993-09-06,1.029,-0.010999999999999899
1993-09-13,1.02,-0.009000000000000119
1993-09-20,1.009,-0.010999999999999899
1993-09-27,1.016,0.006999999999999895
1993-10-04,1.063,0.04699999999999993
1993-10-11,1.065,0.0020000000000000018
1993-10-18,1.078,0.013000000000000123
1993-10-25,1.074,-0.0040000000000000036
1993-11-01,1.062,-0.01200000000000001
1993-11-08,1.051,-0.01100000000000012
1993-11-15,1.034,-0.016999999999999904
1993-11-22,1.026,-0.008000000000000007
1993-11-29,1.017,-0.008999999999999897
1993-12-06,0.994,-0.02300000000000002
1993-12-13,0.969,-0.025000000000000022
1993-12-20,0.948,-0.02100000000000013
1993-12-27,0.949,0.001000000000000112
1994-01-03,0.939,-0.010000000000000009
1994-01-10,0.956,0.016999999999999904
1994-01-17,0.974,0.018000000000000127
1994-01-24,0.972,-0.002000000000000113
1994-01-31,0.989,0.017000000000000126
1994-02-07,0.989,0.0
1994-02-14,1.001,0.011999999999999789
1994-02-21,0.984,-0.016999999999999793
1994-02-28,0.975,-0.009000000000000119
1994-03-07,0.988,0.013000000000000012
1994-03-14,0.981,-0.007000000000000006
1994-03-21,0.984,0.0030000000000001137
1994-03-28,0.992,0.007999999999999896
1994-04-04,0.989,-0.0029999999999998916
1994-04-11,1.019,0.030000000000000027
1994-04-18,1.025,0.005999999999999783
1994-04-25,1.029,0.004000000000000226
1994-05-02,1.029,0.0
1994-05-09,1.036,0.006999999999999895
1994-05-16,1.034,-0.0020000000000000018
1994-05-23,1.045,0.010999999999999899
1994-05-30,1.053,0.008000000000000007
1994-06-06,1.059,0.006000000000000227
1994-06-13,1.067,0.007999999999999785
1994-06-20,1.075,0.008000000000000007
1994-06-27,1.097,0.02200000000000002
1994-07-04,1.095,-0.0020000000000000018
1994-07-11,1.099,0.0040000000000000036
1994-07-18,1.109,0.010000000000000009
1994-07-25,1.119,0.010000000000000009
1994-08-01,1.14,0.020999999999999908
1994-08-08,1.175,0.03500000000000014
1994-08-15,1.172,-0.0030000000000001137
1994-08-22,1.179,0.007000000000000117
1994-08-29,1.164,-0.014999999999999902
1994-09-05,1.158,-0.006000000000000227
1994-09-12,1.145,-0.0129999999999999
1994-09-19,1.128,-0.017000000000000126
1994-09-26,1.11,-0.017999999999999794
1994-10-03,1.092,-0.018000000000000016
1994-10-10,1.087,-0.0050000000000001155
1994-10-17,1.073,-0.014000000000000012
1994-10-24,1.072,-0.0009999999999998899
1994-10-31,1.094,0.02200000000000002
1994-11-07,1.092,-0.0020000000000000018
1994-11-14,1.087,-0.0050000000000001155
1994-11-21,1.072,-0.014999999999999902
1994-11-28,1.052,-0.020000000000000018
1994-12-05,1.035,-0.017000000000000126
1994-12-12,1.018,-0.016999999999999904
1994-12-19,1.007,-0.010999999999999899
1994-12-26,0.995,-0.012000000000000122
1995-01-02,0.997,0.0020000000000000018
1995-01-09,1.018,0.02100000000000002
1995-01-16,1.003,-0.015000000000000124
1995-01-23,1.025,0.02200000000000002
1995-01-30,1.026,0.001000000000000112
1995-02-06,1.017,-0.008999999999999897
1995-02-13,1.012,-0.0050000000000001155
1995-02-20,1.004,-0.008000000000000007
1995-02-27,1.024,0.020000000000000018
1995-03-06,1.027,0.0030000000000001137
1995-03-13,1.017,-0.010000000000000009
1995-03-20,1.023,0.005999999999999783
1995-03-27,1.04,0.017000000000000126
1995-04-03,1.065,0.02499999999999991
1995-04-10,1.083,0.018000000000000016
1995-04-17,1.096,0.0129999999999999
1995-04-24,1.12,0.024000000000000243
1995-05-01,1.117,-0.0030000000000001137
1995-05-08,1.147,0.030000000000000027
1995-05-15,1.154,0.007000000000000117
1995-05-22,1.18,0.0259999999999998
1995-05-29,1.173,-0.006999999999999895
1995-06-05,1.172,-0.001000000000000112
1995-06-12,1.166,-0.006000000000000005
1995-06-19,1.152,-0.01399999999999979
1995-06-26,1.141,-0.01100000000000012
1995-07-03,1.13,-0.01100000000000012
1995-07-10,1.114,-0.015999999999999792
1995-07-17,1.097,-0.017000000000000126
1995-07-24,1.085,-0.01200000000000001
1995-07-31,1.07,-0.014999999999999902
1995-08-07,1.074,0.0040000000000000036
1995-08-14,1.074,0.0
1995-08-21,1.08,0.006000000000000005
1995-08-28,1.068,-0.01200000000000001
1995-09-04,1.07,0.0020000000000000018
1995-09-11,1.066,-0.004000000000000226
1995-09-18,1.068,0.002000000000000224
1995-09-25,1.07,0.0020000000000000018
1995-10-02,1.064,-0.006000000000000005
1995-10-09,1.048,-0.016000000000000014
1995-10-16,1.032,-0.016000000000000014
1995-10-23,1.024,-0.008000000000000007
1995-10-30,1.006,-0.018000000000000016
1995-11-06,1.013,0.006999999999999895
1995-11-13,1.019,0.006000000000000227
1995-11-20,1.014,-0.0050000000000001155
1995-11-27,1.02,0.006000000000000005
1995-12-04,1.026,0.006000000000000005
1995-12-11,1.021,-0.0050000000000001155
1995-12-18,1.059,0.038000000000000256
1995-12-25,1.058,-0.001000000000000112
1996-01-01,1.06,0.0020000000000000018
1996-01-08,1.078,0.018000000000000016
1996-01-15,1.077,-0.001000000000000112
1996-01-22,1.063,-0.014000000000000012
1996-01-29,1.051,-0.01200000000000001
1996-02-05,1.051,0.0
1996-02-12,1.05,-0.0009999999999998899
1996-02-19,1.06,0.010000000000000009
1996-02-26,1.101,0.040999999999999925
1996-03-04,1.116,0.014999999999999902
1996-03-11,1.108,-0.008000000000000007
1996-03-18,1.124,0.016000000000000236
1996-03-25,1.161,0.03699999999999992
1996-04-01,1.168,0.006999999999999895
1996-04-08,1.191,0.02299999999999991
1996-04-15,1.227,0.036000000000000254
1996-04-22,1.216,-0.01100000000000012
1996-04-29,1.227,0.01100000000000012
1996-05-06,1.216,-0.01100000000000012
1996-05-13,1.221,0.004999999999999893
1996-05-20,1.238,0.017000000000000126
1996-05-27,1.221,-0.017000000000000126
1996-06-03,1.21,-0.010999999999999899
1996-06-10,1.205,-0.004999999999999893
1996-06-17,1.203,-0.0020000000000000018
1996-06-24,1.19,-0.013000000000000123
1996-07-01,1.174,-0.015999999999999792
1996-07-08,1.178,0.0039999999999997815
1996-07-15,1.183,0.0050000000000001155
1996-07-22,1.186,0.0029999999999998916
1996-07-29,1.172,-0.014000000000000012
1996-08-05,1.156,-0.016000000000000014
1996-08-12,1.152,-0.0039999999999997815
1996-08-19,1.169,0.016999999999999904
1996-08-26,1.177,0.008000000000000007
1996-09-02,1.164,-0.0129999999999999
1996-09-09,1.181,0.016999999999999904
1996-09-16,1.183,0.0020000000000000018
1996-09-23,1.186,0.0029999999999998916
1996-09-30,1.177,-0.008999999999999897
1996-10-07,1.164,-0.0129999999999999
1996-10-14,1.187,0.02299999999999991
1996-10-21,1.184,-0.0029999999999998916
1996-10-28,1.212,0.027999999999999803
1996-11-04,1.222,0.010000000000000009
1996-11-11,1.23,0.008000000000000007
1996-11-18,1.239,0.009000000000000119
1996-11-25,1.254,0.014999999999999902
1996-12-02,1.248,-0.006000000000000005
1996-12-09,1.245,-0.0029999999999998916
1996-12-16,1.226,-0.019000000000000128
1996-12-23,1.215,-0.010999999999999899
1996-12-30,1.208,-0.007000000000000117
1997-01-06,1.2,-0.008000000000000007
1997-01-13,1.232,0.03200000000000003
1997-01-20,1.23,-0.0020000000000000018
1997-01-27,1.222,-0.008000000000000007
1997-02-03,1.217,-0.004999999999999893
1997-02-10,1.203,-0.014000000000000012
1997-02-17,1.187,-0.016000000000000014
1997-02-24,1.189,0.0020000000000000018
1997-03-03,1.173,-0.016000000000000014
1997-03-10,1.158,-0.015000000000000124
1997-03-17,1.146,-0.01200000000000001
1997-03-24,1.163,0.017000000000000126
1997-03-31,1.152,-0.010999999999999899
1997-04-07,1.151,-0.001000000000000112
1997-04-14,1.145,-0.006000000000000005
1997-04-21,1.153,0.008000000000000007
1997-04-28,1.155,0.0020000000000000018
1997-05-05,1.152,-0.0029999999999998916
1997-05-12,1.156,0.0039999999999997815
1997-05-19,1.188,0.03200000000000003
1997-05-26,1.208,0.020000000000000018
1997-06-02,1.211,0.0029999999999998916
1997-06-09,1.199,-0.011999999999999789
1997-06-16,1.185,-0.014000000000000012
1997-06-23,1.172,-0.013000000000000123
1997-06-30,1.158,-0.014000000000000012
1997-07-07,1.158,0.0
1997-07-14,1.152,-0.005999999999999783
1997-07-21,1.17,0.017999999999999794
1997-07-28,1.157,-0.0129999999999999
1997-08-04,1.189,0.03200000000000003
1997-08-11,1.235,0.04600000000000004
1997-08-18,1.22,-0.015000000000000124
1997-08-25,1.232,0.01200000000000001
1997-09-01,1.223,-0.009000000000000119
1997-09-08,1.212,-0.010999999999999899
1997-09-15,1.195,-0.016999999999999904
1997-09-22,1.176,-0.019000000000000128
1997-09-29,1.154,-0.021999999999999797
1997-10-06,1.162,0.007999999999999785
1997-10-13,1.148,-0.014000000000000012
1997-10-20,1.133,-0.014999999999999902
1997-10-27,1.121,-0.01200000000000001
1997-11-03,1.118,-0.0030000000000001137
1997-11-10,1.127,0.009000000000000119
1997-11-17,1.115,-0.01200000000000001
1997-11-24,1.115,0.0
1997-12-01,1.099,-0.016000000000000014
1997-12-08,1.08,-0.018999999999999906
1997-12-15,1.067,-0.013000000000000123
1997-12-22,1.059,-0.007999999999999785
1997-12-29,1.046,-0.013000000000000123
1998-01-05,1.03,-0.016000000000000014
1998-01-12,1.031,0.0009999999999998899
1998-01-19,1.019,-0.011999999999999789
1998-01-26,0.993,-0.026000000000000134
1998-02-02,1.009,0.016000000000000125
1998-02-09,1.006,-0.0030000000000001137
1998-02-16,0.994,-0.0119999999999999
1998-02-23,1.021,0.026999999999999802
1998-03-02,1.004,-0.016999999999999904
1998-03-09,0.996,-0.008000000000000007
1998-03-16,0.991,-0.0050000000000000044
1998-03-23,0.988,-0.0030000000000000027
1998-03-30,1.029,0.04100000000000015
1998-04-06,1.017,-0.01200000000000001
1998-04-13,1.005,-0.012000000000000233
1998-04-20,1.015,0.010000000000000009
1998-04-27,1.034,0.019000000000000128
1998-05-04,1.04,0.006000000000000005
1998-05-11,1.057,0.016999999999999904
1998-05-18,1.072,0.015000000000000124
1998-05-25,1.067,-0.0050000000000001155
1998-06-01,1.055,-0.01200000000000001
1998-06-08,1.081,0.026000000000000023
1998-06-15,1.059,-0.021999999999999797
1998-06-22,1.044,-0.015000000000000124
1998-06-29,1.053,0.008999999999999897
1998-07-06,1.059,0.006000000000000227
1998-07-13,1.047,-0.012000000000000233
1998-07-20,1.066,0.018999999999999906
1998-07-27,1.051,-0.014999999999999902
1998-08-03,1.031,-0.020000000000000018
1998-08-10,1.024,-0.006999999999999895
1998-08-17,1.011,-0.013000000000000123
1998-08-24,0.998,-0.0129999999999999
1998-08-31,0.994,-0.0039999999999998925
1998-09-07,0.988,-0.006000000000000116
1998-09-14,0.982,-0.006000000000000005
1998-09-21,1.012,0.030000000000000027
1998-09-28,1.003,-0.009000000000000119
1998-10-05,1.014,0.01100000000000012
1998-10-12,1.007,-0.006999999999999895
1998-10-19,1.002,-0.0050000000000001155
1998-10-26,0.994,-0.007999999999999896
1998-11-02,0.987,-0.007000000000000117
1998-11-09,0.987,0.0
1998-11-16,0.962,-0.02499999999999991
1998-11-23,0.953,-0.009000000000000119
1998-11-30,0.925,-0.027999999999999914
1998-12-07,0.894,-0.031000000000000028
1998-12-14,0.89,-0.0040000000000000036
1998-12-21,0.899,0.009000000000000008
1998-12-28,0.89,-0.009000000000000008
1999-01-04,0.887,-0.0030000000000000027
1999-01-11,0.91,0.02300000000000002
1999-01-18,0.907,-0.0030000000000000027
1999-01-25,0.896,-0.01100000000000012
1999-02-01,0.891,-0.0050000000000000044
1999-02-08,0.895,0.004000000000000115
1999-02-15,0.882,-0.013000000000000012
1999-02-22,0.853,-0.029000000000000026
1999-03-01,0.874,0.02100000000000013
1999-03-08,0.887,0.0129999999999999
1999-03-15,0.968,0.08099999999999996
1999-03-22,1.015,0.04699999999999993
1999-03-29,1.069,0.05400000000000005
1999-04-05,1.082,0.013000000000000123
1999-04-12,1.099,0.016999999999999904
1999-04-19,1.084,-0.014999999999999902
1999-04-26,1.074,-0.010000000000000009
1999-05-03,1.09,0.016000000000000014
1999-05-10,1.09,0.0
1999-05-17,1.104,0.014000000000000012
1999-05-24,1.082,-0.02200000000000002
1999-05-31,1.061,-0.02100000000000013
1999-06-07,1.082,0.02100000000000013
1999-06-14,1.072,-0.010000000000000009
1999-06-21,1.106,0.03399999999999981
1999-06-28,1.079,-0.026999999999999913
1999-07-05,1.1,0.02100000000000013
1999-07-12,1.108,0.007999999999999785
1999-07-19,1.133,0.025000000000000133
1999-07-26,1.17,0.03699999999999992
1999-08-02,1.158,-0.01200000000000001
1999-08-09,1.157,-0.0009999999999998899
1999-08-16,1.212,0.05499999999999994
1999-08-23,1.195,-0.016999999999999904
1999-08-30,1.195,0.0
1999-09-06,1.218,0.02299999999999991
1999-09-13,1.227,0.009000000000000119
1999-09-20,1.257,0.030000000000000027
